ID,en,es,gl,is,pl,pt
reserved_slots,Disabled parking slots reserved,Número de plazas reservadas para personas discapacitadas,Número de prazas reservadas para persoas discapacitadas,Frátekin bílastæði fyrir fatlað fólk,Liczba miejsc parkingowych dla osób z niepełnosprawnościami,Número de lugares reservados para deficientes
press_buy_tickets,Click on the link to buy tickets.,Presione en el enlace para comprar las entradas.,Faga clic na ligazón para mercar as entradas.,Smelltu á hlekkinn til að kaupa miða.,"Kliknij link, aby kupić bilety.",Clique no link para comprar bilhetes.
press_virtual_visit,Click on the link to access the virtual tour.,Presione en el enlace para acceder a la visita virtual.,Faga clic na ligazón para acceder á visita virtual.,Smelltu á hlekkinn til að fá aðgang að sýndarleiðsögn.,"Kliknij link, aby uzyskać dostęp do wirtualnego zwiedzania.",Clique no link para aceder à visita virtual
where_buy_tickets,Where to buy tickets?,¿Dónde comprar las entradas?,Onde mercar as entradas?,Hvar á að kaupa miða?,Gdzie można kupić bilety?,Onde comprar bilhetes?
sure_download,"Are you sure about downloading the PDF, you still have some fields to cover?",¿Seguro que quiere desacargar el PDF? Todavía le quedan algunos campos por cubrir.,Seguro que desexa descargar o PDF? Aínda lle quedan algúns campos por encher.,"Ertu viss um að þú viljir hlaða niður PDF-skjalinu, þú átt ennþá einhverja reiti óútfyllta?",Czy na pewno chcesz pobrać plik PDF? Jest jeszcze kilka pól do uzupełnienia.,"Tem certeza de que deseja fazer o download do PDF, ainda tem alguns campos para preencher?"
activity_name,Activity name,Nombre de la actividad,Nome da actividade,Nafn starfseminnar,Nazwa działania,Nome da atividade
chronometer,Chronometer,Cronómetro,Cronómetro,Tímaritari,Chronometr,Cronômetro
lines_timetable,Line{s1}: {line}\nSchedule{s2}: {timetable},Línea{s1}: {line}\nHorario{s2}: {timetable},Liña{s1}: {line}\nHorario{s2}: {timetable},Lína{s1}: {line}\nStundaskrá{s2}: {timetable},Linia{s1}: {line}\nRozkład{s2}: {timetable},Linha{s1}: {line}\nHorário{s2}: {timetable}
without_number,S/N,S/N,S/N,S/N,S/N,S/N
where_buy_tickets,Where can you buy tickets in person?,¿Dónde se pueden comprar las entradas presencialmente?,Onde se poden mercar as entradas en persoa?,Hvar er hægt að kaupa miða í eigin persónu?,Gdzie można osobiście kupić bilety?,Onde pode comprar bilhetes presencialmente?
where_buy_tickets_online,On which website can you buy tickets?,¿En qué web se pueden comprar las entradas?,En que web se poden mercar as entradas?,Á hvaða vefsíðu er hægt að kaupa miða?,Na jakiej stronie można kupić bilety?,Sítio Web para comprar bilhetes online?
logo_title,Attach logo(s),Adjunte logo(s),Anexe logo(s),Hengdu við lógó,Dołącz logo(a),Inclua logotipo(s)
logo,Attach logo(s) for the event,Adjunte logo(s) para el evento,Anexe logo(s) para o evento,Hengdu við lógó fyrir viðburðinn,Dołącz logo(a) wydarzenia,Inclua o(s) logotipo(s) do evento
logos,Logos,Logos,Logos,Lógó,Logo,Logos
enable_disable,Sections,Secciones,Seccións,Köflum,Sekcje,Secções
drop_files,Drop files here...,Arrastra los archivos aquí...,Arrastre os arquivos aquí...,Slepptu skrám hér...,Upuść pliki tutaj...,Arraste os ficheiros para aqui...
select_files,Select your files,Seleccione sus archivos,Seleccione os seus arquivos,Veldu skrárnar þínar,Wybierz pliki,Selecione os ficheiros
or,or,o,ou,eða,lub,ou
banner,Banner,Banner,Banner,Borði,Baner,Banner
quiet_relaxation_room,Quiet relaxation room,Sala de relajación tranquila,Sala de relaxación tranquila,Hljóðlátt hvíldarherbergi,Cichy pokój relaksacyjny,Sala de descanso tranquila
soundproofing_headphones,Soundproofing headphones,Auriculares insonorizados,Auriculares insonorizados,Hljóðeinangruð heyrnartól,Słuchawki wygłuszające,Auriculares insonorizados
availability_assistant,Available assistant,Asistente disponible,Asistente dispoñible,Aðstoðarfólk í boði,Dostępny asystent,Assistente disponível
covid_19_restrictions,COVID-19 Restrictions,Restricciones de COVID-19,Restricións COVID-19,COVID-19 takmarkanir,Ograniczenia związane z COVID-19,Restrições COVID-19
wear_mask,The use of a mask is mandatory,Obligatorio el uso de mascarilla,O uso de máscara é obrigatorio,Notkun grímu er skylda,Wymagane jest zasłanianie ust i nosa maseczką,O uso de máscara é obrigatório
handwashing,Periodic hand washing is recommended,Se recomienda lavado periódico de manos,Recoméndase o lavado periódico das mans,Mælt er með reglulegum handþvotti,Zalecane jest częste dezynfekowanie rąk,Recomenda-se a lavagem periódica das mãos
social_distance,Obligatory to maintain social distance,Obligatorio mantener la distancia social,Obrigatorio manter a distancia social,Skylt að halda félagslegri fjarlægð,Obowiązkowe zachowanie dystansu społecznego,Obrigatório manter o distanciamento social
temperature_control,Temperature control will be carried out,Se realizará control de temperaturas,Realizarase control da temperatura,Hita verður stýrt,Zostanie przeprowadzony pomiar temperatury,O controle de temperatura será realizado
hand_sanitizer,Hand sanitizer available,Gel hidroalcohólico disponible,Xel hidroalcohólico dispoñible,Spritt fáanlegt,Dostępny żel do dezynfekcji rąk,Alcool gel disponível
additional_location_information,Additional information,Información adicional,Información adicional,Viðbótarupplýsingar,Dodatkowe informacje,Informação adicional
ph_location_information_detail,"Room, hall, area, door, entrance...","Habitación, sala, zona, puerta, entrada...","Habitación, vestíbulo, zona, porta, entrada...","Herbergi, forstofa, svæði, hurð, inngangur...","Pokój, hol, powierzchnia, drzwi, wejście...","Sala, hall, área, porta, entrada..."
allowed,Allowed,Permitido,Permitido,Leyfilegt,Dozwolony,Permitido
not_allowed,Not allowed,No permitido,Non permitido,Ekki leyfilegt,Niedozwolony,Não permitido
